fs_time,time,weight,lnV0,beta,phi,rho,k,delta,pi,c,T,E,I,R,V,next_event,next_time
21.0,4.0,0.08715684443031202,4.2138768691073345,8.484494952420414,9.422046501918006,0.012643953618580069,4.0,2.1823259198613694,400.0,10.0,0.0,164424.8480549308,1892027.3182000627,1209.6027870842206,91233179.76167919,0,0.0
21.0,4.0,0.08234498040875993,1.9478671119965854,5.303507081600579,0.0001,0.0001,4.0,1.0,378.0041993301483,10.0,52920072.21752242,12479459.570618562,11045802.223746702,701047.9394194541,304891883.09831226,0,0.0
21.0,5.0,0.09603444269302966,4.555866655324861,6.918882798191407,3.9997245754576647,0.022162807448577133,4.0,2.215250934657588,371.4453112553817,10.0,100.0,33386.401081523916,371398.2914252161,158041.78256329717,16665403.61394696,0,0.0
21.0,5.0,0.10045941020855162,4.539738383042671,7.093964347128492,4.557655926578601,0.022596555019911625,4.0,2.2337573603016994,372.5342376639806,10.0,100.0,32287.344571764905,354897.8387930156,155302.04757626096,15997523.031158498,0,0.0
21.0,5.0,0.13885625108846691,4.837639819098618,7.401626667998528,5.857673107614985,0.02388097083461961,4.0,2.467594097317358,377.30826527919754,10.0,100.0,22125.29455590156,209809.9829246151,122953.02697485437,9775184.571079459,0,0.0
21.0,5.0,0.11822435791054378,4.691198349777932,6.944295113414922,4.474187387869925,0.023896621803615296,4.0,2.3467198309993154,371.1729444570717,10.0,233.56140417907739,27048.312197632,276689.9824707061,138375.1252761307,12549791.008341597,0,0.0
21.0,5.0,0.1019220354647265,4.797733486134738,6.949230489013407,3.727236457171164,0.027463266155170148,4.0,2.239482248167287,361.145608984686,10.0,282.41258897866766,32351.605316690486,354304.7835938222,153737.653735227,15490421.293009866,0,0.0
21.0,5.0,0.09099894824043937,4.5813779617159325,8.674609902094987,9.382471095354735,0.017523221741209558,4.0,2.191693177888304,399.68404927160805,10.0,100.0,34187.05922803128,385969.2072636342,162690.02718891008,18596955.75994954,0,0.0
21.0,5.0,0.13600308791263116,4.585608527633639,7.827590410248106,8.044988234356605,0.017809449929731762,4.0,2.4795886544723533,394.8047541532719,10.0,118.94243731274229,21668.78088421977,203927.1299586535,121642.96777483539,9951860.715174653,0,0.0
21.0,5.0,0.12066567431113438,4.476889330352022,8.416954944808621,9.40142621247527,0.015842117846399658,4.0,2.38625787931908,400.0,10.0,81.0,24961.48981580551,249020.82066677904,133856.88487910232,12213639.685745517,0,0.0
21.0,5.0,0.08976609270351844,4.2138768691073345,8.484494952420414,9.422046501918006,0.012643953618580069,4.0,2.1823259198613694,400.0,10.0,47.0,34635.974496774594,393388.8006010271,164364.8480549308,18953803.363408677,0,0.0
21.0,5.0,0.00706969946695827,1.9478671119965854,5.303507081600579,0.0001,0.0001,4.0,1.0,378.0041993301483,10.0,1344598.2896460656,8133016.911736805,34157265.57854671,12774995.37006982,1257972665.021971,0,0.0
21.0,6.0,0.08725468168298184,4.555866655324861,6.918882798191407,3.9997245754576647,0.022162807448577133,4.0,2.215250934657588,371.4453112553817,10.0,100.0,6799.109015248291,92824.65553271557,33386.06790071719,4213751.559206166,0,0.0
21.0,6.0,0.09321232058294625,4.539738383042671,7.093964347128492,4.557655926578601,0.022596555019911625,4.0,2.2337573603016994,372.5342376639806,10.0,100.0,6497.194968223639,88006.65483456283,32287.138281901873,4014666.042383814,0,0.0
21.0,6.0,0.16080103353878591,4.837639819098618,7.401626667998528,5.857673107614985,0.02388097083461961,4.0,2.467594097317358,377.30826527919754,10.0,100.0,3841.1943373388226,46824.59599732574,22125.260414476823,2217713.854588681,0,0.0
21.0,6.0,0.12346712956565936,4.691198349777932,6.944295113414922,4.474187387869925,0.023896621803615296,4.0,2.3467198309993154,371.1729444570717,10.0,100.0,5065.752767662599,65026.52989423613,27179.68382481874,2990573.8137187487,0,0.0
21.0,6.0,0.0961102332182796,4.797733486134738,6.949230489013407,3.727236457171164,0.027463266155170148,4.0,2.239482248167287,361.145608984686,10.0,192.2476777481244,6486.860798143088,87361.85520658205,32433.68210640648,3865137.5648773788,0,0.0
21.0,6.0,0.07817701180888344,4.5813779617159325,8.674609902094987,9.382471095354735,0.017523221741209558,4.0,2.191693177888304,399.68404927160805,10.0,52.0,7066.067028390328,97912.62474137482,34233.05922803128,4771824.251534207,0,0.0
21.0,6.0,0.15681342723219766,4.585608527633639,7.827590410248106,8.044988234356605,0.017809449929731762,4.0,2.4795886544723533,394.8047541532719,10.0,100.0,3733.0614148116497,45303.89005234326,21687.51873546186,2248185.735819389,0,0.0
21.0,6.0,0.12785518922258549,4.476889330352022,8.416954944808621,9.40142621247527,0.015842117846399658,4.0,2.38625787931908,400.0,10.0,55.0,4559.435241389992,57766.49990110231,24983.48981580551,2875808.149441314,0,0.0
21.0,6.0,0.07626684219539959,4.2138768691073345,8.484494952420414,9.422046501918006,0.012643953618580069,4.0,2.1823259198613694,400.0,10.0,40.0,7201.23391014312,100297.24216200609,34640.974496774594,4887267.742299798,0,0.0
21.0,6.0,4.213095228085813e-05,1.9478671119965854,5.303507081600579,0.0001,0.0001,4.0,1.0,378.0041993301483,10.0,5696.519553717514,695655.7921796903,21321821.9547329,8138013.21168991,876296323.0944397,0,0.0
21.0,7.0,0.09016731953043101,4.555866655324861,6.918882798191407,3.9997245754576647,0.022162807448577133,4.0,2.215250934657588,371.4453112553817,10.0,100.0,1699.353293249652,22533.08338769493,6798.996031569771,1021351.037975598,0,0.0
21.0,7.0,0.09612071373305281,4.539738383042671,7.093964347128492,4.557655926578601,0.022596555019911625,4.0,2.2337573603016994,372.5342376639806,10.0,100.0,1611.1278036714432,21156.806556512936,6497.123056489727,963575.0997180553,0,0.0
