unit,time,prob,ymin,ymax
V,4.0,12,29144633.7619063,33837704.97518631
V,4.0,0,31639570.80249734,31639570.80249734
V,5.0,95,1051305.8152875558,11624902.835126335
V,5.0,87,1358686.9085172806,8491530.019362634
V,5.0,75,1697748.8486379462,6605793.566513812
V,5.0,62,2210815.006478297,5946843.785661934
V,5.0,50,2387064.6295503746,5323140.529798102
V,5.0,37,2669081.3591907215,4345832.366667332
V,5.0,25,2860346.3204704514,4104924.906918989
V,5.0,12,3045940.421272809,3706216.0318677095
V,5.0,0,3353905.8571564863,3353905.8571564863
V,6.0,95,143736.1594147659,1474279.1622743204
V,6.0,87,194607.6202678239,1120806.6883569735
V,6.0,75,258605.95734147952,900460.3519347673
V,6.0,62,311817.1236468806,780458.1010651307
V,6.0,50,344533.36150419345,711361.859604157
V,6.0,37,390282.7249696989,652915.1662173573
V,6.0,25,409212.8384896279,587017.3057024375
V,6.0,12,452190.4878377179,538343.501255292
V,6.0,0,490237.0948475613,490237.0948475613
V,7.0,95,18729.27960731242,265824.14521390316
V,7.0,87,26149.280411802585,201377.44325038
V,7.0,75,37192.40110780109,155243.7262681913
V,7.0,62,45546.337298971506,132996.12482066467
V,7.0,50,50676.79865989502,115993.96864925102
V,7.0,37,57361.22804839287,108284.88390977966
V,7.0,25,63462.78365414462,95720.18053962514
V,7.0,12,70507.13643616029,84741.71961445015
V,7.0,0,77617.13286471607,77617.13286471607
V,8.0,95,2152.877324670027,43301.54818312606
V,8.0,87,3180.999067955163,31836.31867280872
V,8.0,75,4481.289863040882,24367.203365400623
V,8.0,62,5912.582634764871,20876.836024272525
V,8.0,50,6575.595049420469,17855.60145437983
V,8.0,37,7603.6021381194,15413.607407045882
V,8.0,25,8531.43734165776,14007.638204997014
V,8.0,12,9488.898757635414,12113.070228150178
V,8.0,0,10729.848305818345,10729.848305818345
V,9.0,95,221.55250167561152,7576.724007229414
V,9.0,87,347.6978673724128,5101.747735253725
V,9.0,75,515.0545219196399,4050.4402101322144
V,9.0,62,670.6939152406559,3207.681267529706
V,9.0,50,828.3799801886579,2689.893056819238
V,9.0,37,993.7125508239229,2205.2173487651135
V,9.0,25,1162.1779899886828,1940.9470633266044
V,9.0,12,1336.6142928343515,1694.930218651506
V,9.0,0,1470.1270479905834,1470.1270479905834
V,10.0,95,32.00000000000001,1180.4801567511881
V,10.0,87,48.99999999999999,908.5226076052104
V,10.0,75,73.0,617.8203432199288
V,10.0,62,99.0,476.4406731002007
V,10.0,50,115.74385413694468,413.11403062342185
V,10.0,37,150.73664854849073,357.6076008490214
V,10.0,25,180.33970978089553,296.6914045446593
V,10.0,12,204.3231148861738,254.48979570412723
V,10.0,0,224.8763175206867,224.8763175206867
V,11.0,95,2.0,224.0601360993102
V,11.0,87,11.000000000000002,176.21588600476434
V,11.0,75,21.0,109.83785057378394
V,11.0,62,28.0,88.00000000000001
V,11.0,50,32.00000000000001,75.00000000000001
V,11.0,37,37.0,68.00000000000001
V,11.0,25,39.99999999999999,54.000000000000014
V,11.0,12,42.99999999999999,49.99999999999999
V,11.0,0,47.00000000000001,47.00000000000001
V,12.0,95,1.0,46.0
V,12.0,87,1.0,32.00000000000001
V,12.0,75,1.0,7.999999999999999
V,12.0,62,1.0,2.0
V,12.0,50,1.0,1.0
V,12.0,37,1.0,1.0
V,12.0,25,1.0,1.0
V,12.0,12,1.0,1.0
V,12.0,0,1.0,1.0
V,13.0,95,1.0,45.00000000000001
V,13.0,87,1.0,39.99999999999999
V,13.0,75,1.0,22.999999999999996
V,13.0,62,1.0,11.000000000000002
V,13.0,50,1.0,1.0
V,13.0,37,1.0,1.0
V,13.0,25,1.0,1.0
V,13.0,12,1.0,1.0
V,13.0,0,1.0,1.0
V,14.0,95,1.0,1.0
V,14.0,87,1.0,1.0
V,14.0,75,1.0,1.0
V,14.0,62,1.0,1.0
V,14.0,50,1.0,1.0
V,14.0,37,1.0,1.0
V,14.0,25,1.0,1.0
V,14.0,12,1.0,1.0
V,14.0,0,1.0,1.0
V,14.0,95,1.0,1.0
V,14.0,87,1.0,1.0
V,14.0,75,1.0,1.0
V,14.0,62,1.0,1.0
V,14.0,50,1.0,1.0
V,14.0,37,1.0,1.0
V,14.0,25,1.0,1.0
V,14.0,12,1.0,1.0
V,14.0,0,1.0,1.0
V,15.0,95,1.0,1.0
V,15.0,87,1.0,1.0
V,15.0,75,1.0,1.0
V,15.0,62,1.0,1.0
V,15.0,50,1.0,1.0
V,15.0,37,1.0,1.0
V,15.0,25,1.0,1.0
V,15.0,12,1.0,1.0
V,15.0,0,1.0,1.0
V,16.0,95,1.0,1.0
V,16.0,87,1.0,1.0
V,16.0,75,1.0,1.0
V,16.0,62,1.0,1.0
V,16.0,50,1.0,1.0
V,16.0,37,1.0,1.0
V,16.0,25,1.0,1.0
V,16.0,12,1.0,1.0
V,16.0,0,1.0,1.0
V,17.0,95,1.0,1.0
V,17.0,87,1.0,1.0
V,17.0,75,1.0,1.0
V,17.0,62,1.0,1.0
V,17.0,50,1.0,1.0
V,17.0,37,1.0,1.0
V,17.0,25,1.0,1.0
V,17.0,12,1.0,1.0
V,17.0,0,1.0,1.0
V,18.0,95,1.0,1.0
V,18.0,87,1.0,1.0
V,18.0,75,1.0,1.0
V,18.0,62,1.0,1.0
V,18.0,50,1.0,1.0
