fs_time,time,weight,lnV0,beta,phi,rho,k,delta,pi,c,T,E,I,R,V,next_event,next_time
5.0,1.0,0.15658434772074206,2.1623021432341414,5.830156894831557,0.8661995238351892,0.000281810512221053,4.0,1.023141092680912,382.19236399883016,10.0,79992863.41988903,73.0,52.0,7008.580108923064,1192.2469098024908,0,0.0
5.0,1.0,1.1063413658696913e-05,1.0863003522977503,2.8884574800189986,1.4891335730241435,0.013636944885210766,4.0,2.5305759979024622,404.64938654023666,10.0,80000000.0,0.0,0.0,1.0,0.0,0,0.0
5.0,1.0,1.1063413658696913e-05,0.14966672518187385,9.375581719666528,3.8702499838203144,0.0024481595720222344,4.0,3.392231653722039,368.85181284769845,10.0,80000000.0,0.0,0.0,1.0,0.0,0,0.0
5.0,1.0,1.1063413658696913e-05,1.8242836392950883,0.7252873265440309,9.38949862887222,0.006826927625370683,4.0,1.8038647421111325,358.1989417735979,10.0,80000000.0,0.0,0.0,1.0,0.0,0,0.0
5.0,1.0,1.1063413658696913e-05,2.5323579539214776,1.7416796445739262,6.0262016279393915,0.0075260805015089005,4.0,2.909336676290932,367.66773800076,10.0,80000000.0,0.0,0.0,1.0,0.0,0,0.0
5.0,2.0,0.14170664396561838,3.837422810839807,4.953426673300174,2.786713507311129,0.010041627154965078,4.0,3.4894211729021665,387.8886836766732,10.0,26035841.076808237,92041.25475372309,83668.88934948183,53647985.98074184,2890806.614366236,0,0.0
5.0,2.0,0.36002373282512073,4.34191560945263,8.399491560940048,8.945058353647221,0.01489490493555813,4.0,2.189202365296246,402.0151570141781,10.0,185178.35407987557,3654.921573128551,54541.77337073445,79449429.72577989,2696546.2777290237,0,0.0
5.0,2.0,0.25286899748079017,4.761806558971889,7.372871372457395,5.516305070255855,0.02377653255747115,4.0,2.323591158578656,375.52006823120723,10.0,496038.77882471716,18083.913204868062,86261.97740424656,79142394.01949932,3701742.412556866,0,0.0
5.0,2.0,7.024472859846621e-14,0.7321862847557117,3.428978211336638,4.280188493873545,0.0170762775224502,4.0,3.8492392298831986,396.02398498762875,10.0,79999423.99982987,0.0,0.0,576.000169537008,0.0,0,0.0
5.0,2.0,0.11369316215197628,3.254314680007404,6.110853118548603,7.909580029721423,0.020093297243113244,4.0,1.554010761432653,352.5627811217317,10.0,539461.3275612848,12850.430003411817,74687.56875078117,79263237.12097667,2809400.5519931326,0,0.0
5.0,2.0,0.13170733018927192,2.1623021432341414,5.830156894831557,0.8661995238351892,0.000281810512221053,4.0,1.023141092680912,382.19236399883016,10.0,44678052.49462968,298679.0467369608,267187.45540397055,34688501.32834669,7452994.110004165,0,0.0
5.0,2.0,2.0819782125529945e-09,1.0863003522977503,2.8884574800189986,1.4891335730241435,0.013636944885210766,4.0,2.5305759979024622,404.64938654023666,10.0,79998518.79539715,3.0,4.0,1469.2046041530327,99.0,0,0.0
5.0,2.0,1.3112238058457662e-07,0.14966672518187385,9.375581719666528,3.8702499838203144,0.0024481595720222344,4.0,3.392231653722039,368.85181284769845,10.0,79963228.18848607,126.31604787857525,58.0,36550.93665475315,1417.7192598413665,0,0.0
5.0,2.0,1.8272318965301093e-10,1.8242836392950883,0.7252873265440309,9.38949862887222,0.006826927625370683,4.0,1.8038647421111325,358.1989417735979,10.0,79992594.12790897,0.0,1.0,7405.872091333361,28.0,0,0.0
5.0,2.0,7.024472859846621e-14,2.5323579539214776,1.7416796445739262,6.0262016279393915,0.0075260805015089005,4.0,2.909336676290932,367.66773800076,10.0,79999542.28881493,0.0,0.0,457.71118542989655,0.0,0,0.0
5.0,3.0,0.19948375736536766,3.837422810839807,4.953426673300174,2.786713507311129,0.010041627154965078,4.0,3.4894211729021665,387.8886836766732,10.0,5287.928073308848,2187.413878215272,1645221.5539617133,26118959.964371454,97798414.61235043,0,0.0
5.0,3.0,0.3392908646862835,4.34191560945263,8.399491560940048,8.945058353647221,0.01489490493555813,4.0,2.189202365296246,402.0151570141781,10.0,70.0,998.3931879292102,8908076.30376679,188762.0547725383,458272018.3337162,0,0.0
5.0,3.0,0.2563627158575751,4.761806558971889,7.372871372457395,5.516305070255855,0.02377653255747115,4.0,2.323591158578656,375.52006823120723,10.0,95.0,1579.1452379495975,7764196.494457949,514020.149426714,379588078.2538075,0,0.0
5.0,3.0,1.282080933876137e-15,0.7321862847557117,3.428978211336638,4.280188493873545,0.0170762775224502,4.0,3.8492392298831986,396.02398498762875,10.0,77346347.36485393,2600.2553079781,1777.2965432643398,2646230.760236222,58582.14467684574,0,0.0
5.0,3.0,0.08871212333878702,3.254314680007404,6.110853118548603,7.909580029721423,0.020093297243113244,4.0,1.554010761432653,352.5627811217317,10.0,98.0,1367.1924327488753,16777418.790787634,552210.6769525731,700155879.6185241,0,0.0
5.0,3.0,0.11615042277496716,2.1623021432341414,5.830156894831557,0.8661995238351892,0.000281810512221053,4.0,1.023141092680912,382.19236399883016,10.0,100.0,5695.329046150255,12610562.642189978,44933746.699461006,536670586.8396887,0,0.0
5.0,3.0,1.7621828189269822e-10,1.0863003522977503,2.8884574800189986,1.4891335730241435,0.013636944885210766,4.0,2.5305759979024622,404.64938654023666,10.0,76821024.82401434,7887.61761337146,6641.168535601869,3157564.5458086873,219667.3800942197,0,0.0
5.0,3.0,1.1579023266255121e-07,0.14966672518187385,9.375581719666528,3.8702499838203144,0.0024481595720222344,4.0,3.392231653722039,368.85181284769845,10.0,1905400.8681502487,82466.56937864253,137867.75832341867,77547765.83183911,5328873.786030907,0,0.0
5.0,3.0,1.0567066743459094e-11,1.8242836392950883,0.7252873265440309,9.38949862887222,0.006826927625370683,4.0,1.8038647421111325,358.1989417735979,10.0,50227328.50006386,1601.076911124649,4189.5296649995735,29757904.124235433,153860.91024018632,0,0.0
5.0,3.0,2.40440809785428e-16,2.5323579539214776,1.7416796445739262,6.0262016279393915,0.0075260805015089005,4.0,2.909336676290932,367.66773800076,10.0,78214231.68730778,495.8749174661093,523.7862283596455,1783656.1736163849,17697.335279704632,0,0.0
5.0,4.0,0.2646437578554006,3.837422810839807,4.953426673300174,2.786713507311129,0.010041627154965078,4.0,3.4894211729021665,387.8886836766732,10.0,100.0,30115.77043802182,953981.3526825419,7371.485265741822,55577292.1283457,0,0.0
5.0,4.0,0.3548550605413789,4.34191560945263,8.399491560940048,8.945058353647221,0.01489490493555813,4.0,2.189202365296246,402.0151570141781,10.0,0.0,163059.28915258072,1864459.62559972,1065.3931879292102,90401285.04134093,0,0.0
5.0,4.0,0.30555615606457054,4.761806558971889,7.372871372457395,5.516305070255855,0.02377653255747115,4.0,2.323591158578656,375.52006823120723,10.0,0.0,142121.04197197728,1524827.417109005,1667.1452379495975,69985185.62235996,0,0.0
5.0,4.0,2.829451097321233e-15,0.7321862847557117,3.428978211336638,4.280188493873545,0.0170762775224502,4.0,3.8492392298831986,396.02398498762875,10.0,268576.35456739785,1511.112073566777,59327.413610781965,77054769.35248442,3764225.4417921775,0,0.0
5.0,4.0,0.05395515290570626,3.254314680007404,6.110853118548603,7.909580029721423,0.020093297243113244,4.0,1.554010761432653,352.5627811217317,10.0,0.0,307104.84070269903,5413759.864923749,1463.1924327488753,217493184.1324844,0,0.0
5.0,4.0,0.020989780562817563,2.1623021432341414,5.830156894831557,0.8661995238351892,0.000281810512221053,4.0,1.023141092680912,382.19236399883016,10.0,0.0,230832.0099533481,21931222.81916635,5792.329046150255,927130227.7765877,0,0.0
5.0,4.0,3.560877381724991e-10,1.0863003522977503,2.8884574800189986,1.4891335730241435,0.013636944885210766,4.0,2.5305759979024622,404.64938654023666,10.0,174276.12040835424,4659.072227197627,276143.3431504158,76531510.4004457,14812585.77415792,0,0.0
5.0,4.0,9.170753689219652e-08,0.14966672518187385,9.375581719666528,3.8702499838203144,0.0024481595720222344,4.0,3.392231653722039,368.85181284769845,10.0,86.0,2525.0888153258525,2620919.032109103,1987701.6237438878,146012719.63958302,0,0.0
5.0,4.0,6.49798652293589e-12,1.8242836392950883,0.7252873265440309,9.38949862887222,0.006826927625370683,4.0,1.8038647421111325,358.1989417735979,10.0,742.1084194866107,105.33477623141052,4900303.980226952,50228041.338273145,214098336.0250464,0,0.0
5.0,4.0,5.364967404605797e-16,2.5323579539214776,1.7416796445739262,6.0262016279393915,0.0075260805015089005,4.0,2.909336676290932,367.66773800076,10.0,71923.3353879396,327.3501164095032,98498.51974027394,78134728.2053556,5094228.932880303,0,0.0
