unit,time,prob,ymin,ymax
I,50.0,0,1057.0,1057.0
I,51.0,95,972.0,1477.0
I,51.0,87,1022.0,1412.0
I,51.0,75,1064.0,1360.0
I,51.0,62,1097.0,1323.0
I,51.0,50,1122.0,1295.0
I,51.0,37,1145.0,1269.0
I,51.0,25,1166.0,1248.0
I,51.0,12,1187.0,1226.0
I,51.0,0,1206.0,1206.0
I,52.0,95,1111.0,1681.0
I,52.0,87,1169.0,1608.0
I,52.0,75,1216.0,1551.0
I,52.0,62,1253.0,1508.0
I,52.0,50,1281.0,1477.0
I,52.0,37,1308.0,1448.0
I,52.0,25,1331.0,1424.0
I,52.0,12,1355.0,1399.0
I,52.0,0,1377.0,1377.0
I,53.0,95,1269.0,1913.0
I,53.0,87,1333.0,1830.0
I,53.0,75,1388.0,1765.0
I,53.0,62,1429.0,1717.0
I,53.0,50,1461.0,1682.0
I,53.0,37,1491.0,1649.0
I,53.0,25,1517.0,1622.0
I,53.0,12,1544.0,1594.0
I,53.0,0,1569.0,1569.0
I,54.0,95,1447.0,2175.0
I,54.0,87,1520.0,2082.0
I,54.0,75,1581.0,2008.0
I,54.0,62,1628.0,1954.0
I,54.0,50,1664.0,1914.0
I,54.0,37,1698.0,1877.0
I,54.0,25,1728.0,1846.0
I,54.0,12,1758.0,1814.0
I,54.0,0,1786.0,1786.0
I,55.0,95,1647.0,2471.0
I,55.0,87,1730.0,2366.0
I,55.0,75,1799.0,2282.0
I,55.0,62,1852.0,2221.0
I,55.0,50,1893.0,2176.0
I,55.0,37,1932.0,2134.0
I,55.0,25,1965.0,2099.0
I,55.0,12,2000.0,2063.0
I,55.0,0,2031.0,2031.0
I,56.0,95,1872.0,2804.0
I,56.0,87,1965.0,2685.0
I,56.0,75,2044.0,2591.0
I,56.0,62,2104.0,2521.0
I,56.0,50,2150.0,2470.0
I,56.0,37,2194.0,2423.0
I,56.0,25,2232.0,2383.0
I,56.0,12,2271.0,2343.0
I,56.0,0,2307.0,2307.0
I,57.0,95,2124.0,3177.0
I,57.0,87,2229.0,3042.0
I,57.0,75,2318.0,2936.0
I,57.0,62,2386.0,2858.0
I,57.0,50,2438.0,2800.0
I,57.0,37,2488.0,2746.0
I,57.0,25,2530.0,2701.0
I,57.0,12,2575.0,2656.0
I,57.0,0,2615.0,2615.0
I,58.0,95,2404.0,3593.0
I,58.0,87,2524.0,3441.0
I,58.0,75,2624.0,3321.0
I,58.0,62,2701.0,3233.0
I,58.0,50,2759.0,3168.0
I,58.0,37,2816.0,3107.0
I,58.0,25,2864.0,3057.0
I,58.0,12,2914.0,3005.0
I,58.0,0,2959.0,2959.0
I,59.0,95,2716.0,4055.0
I,59.0,87,2851.0,3885.0
I,59.0,75,2964.0,3749.0
I,59.0,62,3051.0,3650.0
I,59.0,50,3116.0,3577.0
I,59.0,37,3180.0,3508.0
I,59.0,25,3234.0,3451.0
I,59.0,12,3290.0,3393.0
I,59.0,0,3341.0,3341.0
I,60.0,95,3061.0,4567.0
I,60.0,87,3213.0,4376.0
I,60.0,75,3340.0,4223.0
I,60.0,62,3437.0,4111.0
I,60.0,50,3511.0,4029.0
I,60.0,37,3582.0,3952.0
I,60.0,25,3643.0,3888.0
I,60.0,12,3707.0,3822.0
I,60.0,0,3764.0,3764.0
I,61.0,95,3442.0,5132.0
I,61.0,87,3612.0,4917.0
I,61.0,75,3755.0,4746.0
I,61.0,62,3864.0,4620.0
I,61.0,50,3947.0,4528.0
I,61.0,37,4027.0,4442.0
I,61.0,25,4095.0,4370.0
I,61.0,12,4166.0,4296.0
I,61.0,0,4231.0,4231.0
I,62.0,95,3857.0,5749.0
I,62.0,87,4047.0,5508.0
I,62.0,75,4207.0,5317.0
I,62.0,62,4330.0,5176.0
I,62.0,50,4423.0,5073.0
I,62.0,37,4512.0,4977.0
I,62.0,25,4589.0,4896.0
